642,Student Life & Student Affairs
643,Plants & Animals
644,Christian Education
645,Children & Youth
646,Southwestern States
647,Murder
648,Adaptations
649,Real Estate
650,Literature & the Arts
651,Topology
652,Educators
653,Self-Esteem & Self-Reliance
654,Do-It-Yourself
655,Money Management
656,Germany
657,Beginner
658,Eating Disorders
659,Discrimination & Race Relations
660,Cleaning
661,Caretaking & Organizing
662,Fruit
663,Negotiating
664,Adolescence & Coming of Age
665,Data Processing
666,Coffee & Tea
667,Prophecy
668,Cookery for One
669,Non-Alcoholic
670,Mechanical
671,Diplomacy
672,Bodybuilding & Weight Training
673,Carving
674,Natural Resources
675,Yearbooks & Annuals
676,Needlepoint
677,Easter & Lent
678,People & Places
679,Reptiles & Amphibians
680,Apes
681,Monkeys
682,Media Studies
683,Media & the Law
684,Museum Administration & Museology
685,Erotica
686,Sky Observation
687,Other
688,Non-Religious
689,Applique
690,Men's Interests
691,Perennials
692,Bread
693,Bible Stories
694,New Baby
695,New Experience
696,Pottery & Ceramics
697,Christian Theology
698,Cakes
699,Software Development & Engineering
700,Systems Analysis & Design
701,Roses
702,Landscapes
703,Chocolate
704,Health & Daily Living
705,Crafts for Children
706,Social Work
707,Outdoor & Recreational Areas
708,Desserts
709,Investments & Securities
710,Biblical Commentary
711,Old Testament
712,Cycling
713,Parent Participation
714,Jewish
715,Soul Food
716,Biblical Reference
717,Educational Psychology
718,Chinese
719,Dictionaries & Encyclopedias
720,Food
721,Lodging & Transportation
722,Bed & Breakfast
723,Coins
724,Currency & Medals
725,Consulting
726,Theory & Social Aspects
727,Thai
728,Textiles & Costume
729,Marriage & Divorce
730,Wizards & Witches
731,Economics
732,Yoga
733,Juices & Smoothies
734,Lawns
735,Historical Geography
736,Midwest
737,East North Central (IL
738,IN
739,MI
740,OH
741,WI)
742,Latin America
743,Collections
744,Catalogs
745,Exhibitions
746,Asian American
747,Small Business
748,Comedy
749,Assessment
750,Curiosities & Wonders
751,Folk & Traditional
752,Farm Animals
753,Railroads & Trains
754,Adoption & Fostering
755,I Ching
756,West (AK
757,CO
758,ID
759,MT
760,NV
761,UT
762,WY)
763,Internet
764,Repair
765,Motorcycles
766,Ships & Shipbuilding
767,Potpourri
768,Westerns
769,Diabetic & Sugar-Free
770,Weight Control
771,Political Freedom
772,Manufacturing
773,Maintenance & Repair
774,Satire
775,Environmental Science & Ecosystems
776,Boats
777,Ships & Underwater Craft
778,Supernatural (incl. Ghosts)
779,Christian Ministry
780,Discipleship
781,Polar Regions
782,Apologetics
783,Politics & State
784,Object Oriented
785,New England (CT
786,MA
787,ME
788,NH
789,RI
790,VT)
791,Nanotechnology & MEMS
792,Residential
793,Canada
794,Economic History
795,Viruses & Malware
796,Firearms & Weapons
797,Outdoor Skills
798,Film & Video
799,Mental Health
800,Dinosaurs & Prehistoric Creatures
801,Toilet Training
802,Flowers & Plants
803,Legal
804,Christian Church
805,Administration
806,History & Criticism
807,Canning & Preserving
808,Guides & Reviews
809,Atlases
810,Gazetteers & Maps
811,Retirement Planning
812,Substance Abuse & Addictions
813,Drugs
814,Elementary
815,Southern States
816,Political Freedom & Security
817,Mysticism
818,Low Cholesterol
819,Instruction & Study
820,Voice
821,Faith
822,Philosophy & Social Aspects
823,Encyclopedias
824,Ethics & Professional Responsibility
825,Nursing
826,Book Printing & Binding
827,Philosophers
828,Geography
829,Journalism
830,Authorship
831,Composition & Creative Writing
832,Spiritualism
833,Holocaust
834,Environmental Conservation & Protection
835,West North Central (IA
836,KS
837,MN
838,MO
839,ND
840,NE
841,SD)
842,Technical Writing
843,Death
844,Grief
845,Bereavement
846,Glass & Glassware
847,Crime
848,Microwave
849,Jazz
850,Tablesetting
851,Cardiology
852,Rock
853,Gastroenterology
854,Espionage
855,Colonial & Revolutionary Periods
856,Australia & Oceania
857,Salads
858,Genetics & Genomics
859,Size & Shape
860,Garden Design
861,Campaigns & Elections
862,Manga
863,Mountain (AZ
864,NM
865,Poultry
866,Resumes
867,College Entrance
868,Diabetes
869,Imagination & Play
870,Environment
871,Future Studies
872,Container
873,Endocrinology & Metabolism
874,Database Management
875,Budgeting
876,Enterprise Applications
877,Runaways
878,Probability & Statistics
879,Semiotics & Theory
880,Renaissance
881,Word Lists
882,Health Care Delivery
883,Shrubs
884,South America
885,Arithmetic
886,Law Enforcement
887,Holiday & Seasonal
888,Camping
889,Weapons
890,Hispanic American Studies
891,Caribbean & Latin America
892,Essays & Narratives
893,Reincarnation
894,Time Management
895,Study & Teaching
896,Indian & South Asian
897,Grammar & Punctuation
898,Dough
899,Study Guides
900,SAT
901,Industrial Management
902,Activity Books
903,Love & Marriage
904,Law & Crime
905,Social Issues
906,Consumer Guides
907,Spanish
908,Hard Science Fiction
909,Science & Technology
910,India & South Asia
911,Digital
912,Caribbean & Latin American
913,Collections & Anthologies
914,Parks & Campgrounds
915,Gifted
916,Pregnancy
917,Management Information Systems
918,Appetizers
919,Greek & Roman
920,Home & Community Care
921,Ancient
922,Writing
923,Java
924,Allergies
925,Fatherhood
926,Pictorials
927,Ghost
928,Video & Electronic
929,Business
930,Students & Student Life
931,Roller & In-Line Skating
932,Bible Study Guides
933,Tennis
934,Desktop Applications
935,Word Processing
936,Technological
937,Oncology
938,Physiology
939,Insurance
940,Pain Management
941,Epistemology
942,Hospital Administration & Care
943,Windows Desktop
944,Traditional
945,Flower Arranging
946,Automotive
947,Repair & Maintenance
948,Family Life
949,Chronic Fatigue Syndrome
950,Egypt
951,Pastoral Resources
952,Public Finance
953,Drug Guides
954,Shaker
955,Men's Studies
956,Regency
957,Christian Rituals & Practice
958,Certification Guides
959,A+
960,Homelessness & Poverty
961,Contemporary Women
962,Baby Names
